Completed: {'vector_size': 16, 'window': 1, 'min_count': 1, 'negative': 10} with score 0.06177
Completed: {'vector_size': 16, 'window': 1, 'min_count': 2, 'negative': 10} with score 0.06331
Completed: {'vector_size': 16, 'window': 1, 'min_count': 5, 'negative': 10} with score 0.06481
Completed: {'vector_size': 16, 'window': 2, 'min_count': 1, 'negative': 10} with score 0.06679
Completed: {'vector_size': 16, 'window': 2, 'min_count': 2, 'negative': 10} with score 0.06742
Completed: {'vector_size': 16, 'window': 2, 'min_count': 5, 'negative': 10} with score 0.06930
Completed: {'vector_size': 16, 'window': 4, 'min_count': 1, 'negative': 10} with score 0.06960
Completed: {'vector_size': 16, 'window': 4, 'min_count': 2, 'negative': 10} with score 0.07077
Completed: {'vector_size': 16, 'window': 4, 'min_count': 5, 'negative': 10} with score 0.07198
Completed: {'vector_size': 32, 'window': 1, 'min_count': 1, 'negative': 10} with score 0.06539
Completed: {'vector_size': 32, 'window': 1, 'min_count': 2, 'negative': 10} with score 0.06600
Completed: {'vector_size': 32, 'window': 1, 'min_count': 5, 'negative': 10} with score 0.06663
Completed: {'vector_size': 32, 'window': 2, 'min_count': 1, 'negative': 10} with score 0.06979
Completed: {'vector_size': 32, 'window': 2, 'min_count': 2, 'negative': 10} with score 0.07097
Completed: {'vector_size': 32, 'window': 2, 'min_count': 5, 'negative': 10} with score 0.07156
Completed: {'vector_size': 32, 'window': 4, 'min_count': 1, 'negative': 10} with score 0.07387
Completed: {'vector_size': 32, 'window': 4, 'min_count': 2, 'negative': 10} with score 0.07480
Completed: {'vector_size': 32, 'window': 4, 'min_count': 5, 'negative': 10} with score 0.07583
Completed: {'vector_size': 16, 'window': 1, 'min_count': 1, 'negative': 20} with score 0.06542
Completed: {'vector_size': 16, 'window': 1, 'min_count': 2, 'negative': 20} with score 0.06657
Completed: {'vector_size': 16, 'window': 1, 'min_count': 5, 'negative': 20} with score 0.06905
Completed: {'vector_size': 16, 'window': 2, 'min_count': 1, 'negative': 20} with score 0.06995
Completed: {'vector_size': 16, 'window': 2, 'min_count': 2, 'negative': 20} with score 0.07131
Completed: {'vector_size': 16, 'window': 2, 'min_count': 5, 'negative': 20} with score 0.07359
Completed: {'vector_size': 16, 'window': 4, 'min_count': 1, 'negative': 20} with score 0.07342
Completed: {'vector_size': 16, 'window': 4, 'min_count': 2, 'negative': 20} with score 0.07474
Completed: {'vector_size': 16, 'window': 4, 'min_count': 5, 'negative': 20} with score 0.07702
Completed: {'vector_size': 32, 'window': 1, 'min_count': 1, 'negative': 20} with score 0.06820
Completed: {'vector_size': 32, 'window': 1, 'min_count': 2, 'negative': 20} with score 0.06988
Completed: {'vector_size': 32, 'window': 1, 'min_count': 5, 'negative': 20} with score 0.07140
Completed: {'vector_size': 32, 'window': 2, 'min_count': 1, 'negative': 20} with score 0.07298
Completed: {'vector_size': 32, 'window': 2, 'min_count': 2, 'negative': 20} with score 0.07442
Completed: {'vector_size': 32, 'window': 2, 'min_count': 5, 'negative': 20} with score 0.07579
Completed: {'vector_size': 32, 'window': 4, 'min_count': 1, 'negative': 20} with score 0.07700
Completed: {'vector_size': 32, 'window': 4, 'min_count': 2, 'negative': 20} with score 0.07880
Completed: {'vector_size': 32, 'window': 4, 'min_count': 5, 'negative': 20} with score 0.08050
Completed: {'vector_size': 16, 'window': 1, 'min_count': 1, 'negative': 50} with score 0.03630
Completed: {'vector_size': 16, 'window': 1, 'min_count': 2, 'negative': 50} with score 0.04929
Completed: {'vector_size': 16, 'window': 1, 'min_count': 5, 'negative': 50} with score 0.06744
Completed: {'vector_size': 16, 'window': 2, 'min_count': 1, 'negative': 50} with score 0.03632
Completed: {'vector_size': 16, 'window': 2, 'min_count': 2, 'negative': 50} with score 0.05236
Completed: {'vector_size': 16, 'window': 2, 'min_count': 5, 'negative': 50} with score 0.07361
Completed: {'vector_size': 16, 'window': 4, 'min_count': 1, 'negative': 50} with score 0.03768
Completed: {'vector_size': 16, 'window': 4, 'min_count': 2, 'negative': 50} with score 0.05779
Completed: {'vector_size': 16, 'window': 4, 'min_count': 5, 'negative': 50} with score 0.07660
Completed: {'vector_size': 32, 'window': 1, 'min_count': 1, 'negative': 50} with score 0.04154
Completed: {'vector_size': 32, 'window': 1, 'min_count': 2, 'negative': 50} with score 0.05251
Completed: {'vector_size': 32, 'window': 1, 'min_count': 5, 'negative': 50} with score 0.07083
Completed: {'vector_size': 32, 'window': 2, 'min_count': 1, 'negative': 50} with score 0.04186
Completed: {'vector_size': 32, 'window': 2, 'min_count': 2, 'negative': 50} with score 0.05716
Completed: {'vector_size': 32, 'window': 2, 'min_count': 5, 'negative': 50} with score 0.07696
Completed: {'vector_size': 32, 'window': 4, 'min_count': 1, 'negative': 50} with score 0.04321
Completed: {'vector_size': 32, 'window': 4, 'min_count': 2, 'negative': 50} with score 0.06168
Completed: {'vector_size': 32, 'window': 4, 'min_count': 5, 'negative': 50} with score 0.07868
Completed: {'vector_size': 16, 'window': 1, 'min_count': 1, 'negative': 100} with score 0.00071
Completed: {'vector_size': 16, 'window': 1, 'min_count': 2, 'negative': 100} with score 0.00482
Completed: {'vector_size': 16, 'window': 1, 'min_count': 5, 'negative': 100} with score 0.02611
Completed: {'vector_size': 16, 'window': 2, 'min_count': 1, 'negative': 100} with score 0.00062
Completed: {'vector_size': 16, 'window': 2, 'min_count': 2, 'negative': 100} with score 0.00373
Completed: {'vector_size': 16, 'window': 2, 'min_count': 5, 'negative': 100} with score 0.02628
Completed: {'vector_size': 16, 'window': 4, 'min_count': 1, 'negative': 100} with score 0.00066
Completed: {'vector_size': 16, 'window': 4, 'min_count': 2, 'negative': 100} with score 0.00357
Completed: {'vector_size': 16, 'window': 4, 'min_count': 5, 'negative': 100} with score 0.02907
Completed: {'vector_size': 32, 'window': 1, 'min_count': 1, 'negative': 100} with score 0.00134
Completed: {'vector_size': 32, 'window': 1, 'min_count': 2, 'negative': 100} with score 0.00678
Completed: {'vector_size': 32, 'window': 1, 'min_count': 5, 'negative': 100} with score 0.03080
Completed: {'vector_size': 32, 'window': 2, 'min_count': 1, 'negative': 100} with score 0.00099
Completed: {'vector_size': 32, 'window': 2, 'min_count': 2, 'negative': 100} with score 0.00568
Completed: {'vector_size': 32, 'window': 2, 'min_count': 5, 'negative': 100} with score 0.03165
Completed: {'vector_size': 32, 'window': 4, 'min_count': 1, 'negative': 100} with score 0.00096
Completed: {'vector_size': 32, 'window': 4, 'min_count': 2, 'negative': 100} with score 0.00506
Completed: {'vector_size': 32, 'window': 4, 'min_count': 5, 'negative': 100} with score 0.03434
Completed: {'vector_size': 16, 'window': 1, 'min_count': 1, 'negative': 200} with score 0.00010
Completed: {'vector_size': 16, 'window': 1, 'min_count': 2, 'negative': 200} with score 0.00013
Completed: {'vector_size': 16, 'window': 1, 'min_count': 5, 'negative': 200} with score 0.00017
Completed: {'vector_size': 16, 'window': 2, 'min_count': 1, 'negative': 200} with score 0.00022
Completed: {'vector_size': 16, 'window': 2, 'min_count': 2, 'negative': 200} with score 0.00025
Completed: {'vector_size': 16, 'window': 2, 'min_count': 5, 'negative': 200} with score 0.00032
Completed: {'vector_size': 16, 'window': 4, 'min_count': 1, 'negative': 200} with score 0.00037
Completed: {'vector_size': 16, 'window': 4, 'min_count': 2, 'negative': 200} with score 0.00040
Completed: {'vector_size': 16, 'window': 4, 'min_count': 5, 'negative': 200} with score 0.00043
Completed: {'vector_size': 32, 'window': 1, 'min_count': 1, 'negative': 200} with score 0.00009
Completed: {'vector_size': 32, 'window': 1, 'min_count': 2, 'negative': 200} with score 0.00012
Completed: {'vector_size': 32, 'window': 1, 'min_count': 5, 'negative': 200} with score 0.00026
Completed: {'vector_size': 32, 'window': 2, 'min_count': 1, 'negative': 200} with score 0.00029
Completed: {'vector_size': 32, 'window': 2, 'min_count': 2, 'negative': 200} with score 0.00029
Completed: {'vector_size': 32, 'window': 2, 'min_count': 5, 'negative': 200} with score 0.00036
Completed: {'vector_size': 32, 'window': 4, 'min_count': 1, 'negative': 200} with score 0.00039
Completed: {'vector_size': 32, 'window': 4, 'min_count': 2, 'negative': 200} with score 0.00037
Completed: {'vector_size': 32, 'window': 4, 'min_count': 5, 'negative': 200} with score 0.00084
